date,price
January 2008,2.5
February 2008,2.49
March 2008,2.5
April 2008,2.56
May 2008,2.53
June 2008,2.53
July 2008,2.59
August 2008,2.64
September 2008,2.63
October 2008,2.62
November 2008,2.61
December 2008,2.64
January 2009,2.63
February 2009,2.61
March 2009,2.64
April 2009,2.59
May 2009,2.62
June 2009,2.6
July 2009,2.6
August 2009,2.58
September 2009,2.58
October 2009,2.59
November 2009,2.62
December 2009,2.6
January 2010,2.61
February 2010,2.71
March 2010,2.67
April 2010,2.68
May 2010,2.67
June 2010,2.64
July 2010,2.66
August 2010,2.63
September 2010,2.69
October 2010,2.67
November 2010,2.64
December 2010,2.67
January 2011,2.67
February 2011,2.76
March 2011,2.74
April 2011,2.8
May 2011,2.85
June 2011,2.85
July 2011,2.95
August 2011,3.01
September 2011,3.04
October 2011,3.03
November 2011,3.03
December 2011,3.1
January 2012,3.09
February 2012,3.22
March 2012,3.1
April 2012,3.07
May 2012,3.08
June 2012,3.08
July 2012,3.06
August 2012,3.15
September 2012,3.17
October 2012,3.21
November 2012,3.29
December 2012,3.25
January 2013,3.25
February 2013,3.25
March 2013,3.23
April 2013,3.22
May 2013,3.29
June 2013,3.24
July 2013,3.27
August 2013,3.26
September 2013,3.22
October 2013,3.24
November 2013,3.3
December 2013,3.25
January 2014,3.28
February 2014,3.29
March 2014,3.25
April 2014,3.3
May 2014,3.31
June 2014,3.27
July 2014,3.29
August 2014,3.21
September 2014,3.24
October 2014,3.22
November 2014,3.22
December 2014,3.2
January 2015,3.26
February 2015,3.28
March 2015,3.34
April 2015,3.32
May 2015,3.27
June 2015,3.29
July 2015,3.32
August 2015,3.33
September 2015,3.35
October 2015,3.33
November 2015,3.36
December 2015,3.36
January 2016,3.41
February 2016,3.34
March 2016,3.28
April 2016,3.32
May 2016,3.33
June 2016,3.33
July 2016,3.36
August 2016,3.35
September 2016,3.37
October 2016,3.08
November 2016,3.11
December 2016,3.06
January 2017,3.07
February 2017,3.09
March 2017,3.08
April 2017,3.12
May 2017,3.12
June 2017,3.15
July 2017,3.16
August 2017,3.16
September 2017,3.15
October 2017,3.15
November 2017,3.21
December 2017,3.17
January 2018,3.19
February 2018,3.23
March 2018,3.23
April 2018,3.23
May 2018,3.02
June 2018,3.07
July 2018,3.08
August 2018,3.15
September 2018,3.12
October 2018,3.07
November 2018,3.1
December 2018,3.1
January 2019,3.08
February 2019,3.16
March 2019,3.11
April 2019,3.17
May 2019,3.17
June 2019,3.19
July 2019,3.22
August 2019,3.25
September 2019,3.34
October 2019,3.37
November 2019,3.36
December 2019,3.37
January 2020,3.48
February 2020,3.48
March 2020,3.41
April 2020,3.6
May 2020,3.59
June 2020,3.59
July 2020,3.62
August 2020,3.67
September 2020,3.7
October 2020,3.61
November 2020,3.65
December 2020,3.66
January 2021,3.64
February 2021,3.62
March 2021,3.77
April 2021,3.8
May 2021,3.74
June 2021,3.75
July 2021,3.74
August 2021,3.91
September 2021,3.82
October 2021,3.87
November 2021,3.87
December 2021,3.82
January 2022,3.84
February 2022,3.87
