date,price
January 2008,102.5
February 2008,102.8
March 2008,106.1
April 2008,114
May 2008,124.6
June 2008,130.6
July 2008,132
August 2008,123.9
September 2008,123.7
October 2008,105.9
November 2008,82.7
December 2008,74.2
January 2009,78.9
February 2009,81.6
March 2009,84.7
April 2009,85.2
May 2009,94.4
June 2009,98.8
July 2009,93.9
August 2009,98.3
September 2009,95.3
October 2009,95.6
November 2009,98.1
December 2009,94.4
January 2010,98.9
February 2010,97.7
March 2010,100.6
April 2010,100.7
May 2010,98.2
June 2010,95.5
July 2010,103.3
August 2010,102
September 2010,101
October 2010,106.2
November 2010,108.5
December 2010,110.1
January 2011,113.6
February 2011,114.8
March 2011,121
April 2011,131
May 2011,133.5
June 2011,129.5
July 2011,129.6
August 2011,127.4
September 2011,125.3
October 2011,124.2
November 2011,121
December 2011,118.1
January 2012,122.1
February 2012,126.3
March 2012,131.1
April 2012,135.6
May 2012,128.9
June 2012,123.1
July 2012,125.6
August 2012,128.6
September 2012,130.5
October 2012,126.3
November 2012,122.2
December 2012,120.5
January 2013,122.5
February 2013,130.8
March 2013,130
April 2013,126.1
May 2013,125.4
June 2013,128.1
July 2013,131.7
August 2013,131.2
September 2013,130.7
October 2013,124.8
November 2013,124.6
December 2013,127.3
January 2014,126.6
February 2014,130.6
March 2014,131.5
April 2014,135
May 2014,135.8
June 2014,140.5
July 2014,136.7
August 2014,132
September 2014,130.1
October 2014,123.8
November 2014,114.8
December 2014,103.8
January 2015,91
February 2015,101.4
March 2015,105.5
April 2015,105.2
May 2015,112.6
June 2015,118.1
July 2015,121
August 2015,113
September 2015,105.2
October 2015,100.8
November 2015,103
December 2015,100.4
January 2016,95.7
February 2016,89.8
March 2016,92.5
April 2016,102.3
May 2016,106.1
June 2016,106.1
July 2016,102.4
August 2016,101.1
September 2016,100.9
October 2016,105.4
November 2016,101.4
December 2016,104.7
January 2017,112.8
February 2017,107.8
March 2017,107.6
April 2017,116
May 2017,112
June 2017,107.3
July 2017,109.5
August 2017,112.5
September 2017,118.2
October 2017,114.9
November 2017,122.2
December 2017,121
January 2018,124.5
February 2018,123.6
March 2018,126.1
April 2018,133.7
May 2018,137.3
June 2018,134.6
July 2018,135.6
August 2018,133.6
September 2018,129.3
October 2018,124
November 2018,111.7
December 2018,105.5
January 2019,102.4
February 2019,102.1
March 2019,115.8
April 2019,126.7
May 2019,127.7
June 2019,118.9
July 2019,125.3
August 2019,118.5
September 2019,116.7
October 2019,116.9
November 2019,116.4
December 2019,116
January 2020,114.6
February 2020,111
March 2020,86.1
April 2020,79.1
May 2020,91.2
June 2020,99.9
July 2020,104.3
August 2020,103.9
September 2020,101.8
October 2020,100.7
November 2020,99.3
December 2020,103.6
January 2021,110.9
February 2021,118.1
March 2021,123.8
April 2021,125.9
May 2021,130.2
June 2021,132.6
July 2021,136.4
August 2021,137.2
September 2021,137.9
October 2021,145.3
November 2021,144.3
December 2021,137.7
January 2022,146.1
February 2022,157.5
March 2022,173
April 2022,174.3
May 2022,198
June 2022,205.9
July 2022,180.5
August 2022,165.6
September 2022,148.7
October 2022,164.3
November 2022,161.6
December 2022,140.7
January 2023,148.6
February 2023,144.6
March 2023,145.8
April 2023,156.6
May 2023,156.1
June 2023,159.1
