date,units,sum_price
January 2008,"37,288","1,220,338"
February 2008,"38,614","1,234,443"
March 2008,"53,765","1,745,530"
April 2008,"61,895","2,005,053"
May 2008,"64,143","1,984,920"
June 2008,"59,760","1,880,814"
July 2008,"52,776","1,645,501"
August 2008,"53,104","1,637,645"
September 2008,"49,739","1,549,550"
October 2008,"45,642","1,471,383"
November 2008,"39,881","1,260,148"
December 2008,"35,481","1,179,535"
January 2009,"27,732","872,132"
February 2009,"30,303","954,388"
March 2009,"47,304","1,474,891"
April 2009,"51,047","1,558,014"
May 2009,"54,979","1,719,021"
June 2009,"51,218","1,645,737"
July 2009,"51,668","1,640,185"
August 2009,"51,725","1,686,134"
September 2009,"48,080","1,548,834"
October 2009,"45,635","1,520,546"
November 2009,"39,558","1,321,806"
December 2009,"43,360","1,446,979"
January 2010,"29,728","995,265"
February 2010,"37,427","1,232,649"
March 2010,"53,788","1,790,556"
April 2010,"54,365","1,836,448"
May 2010,"58,222","1,896,010"
June 2010,"59,343","1,969,786"
July 2010,"56,247","1,855,213"
August 2010,"50,114","1,671,807"
September 2010,"51,019","1,744,722"
October 2010,"47,553","1,635,946"
November 2010,"45,270","1,576,083"
December 2010,"43,557","1,576,981"
January 2011,"31,588","1,092,694"
February 2011,"36,818","1,272,245"
March 2011,"58,108","1,925,329"
April 2011,"59,847","1,954,225"
May 2011,"55,730","1,828,098"
June 2011,"66,026","2,172,295"
July 2011,"52,956","1,732,710"
August 2011,"53,186","1,758,488"
September 2011,"50,810","1,715,497"
October 2011,"47,072","1,615,491"
November 2011,"46,050","1,552,575"
December 2011,"42,477","1,442,319"
January 2012,"37,454","1,228,477"
February 2012,"39,644","1,347,546"
March 2012,"60,132","2,033,067"
April 2012,"60,149","1,962,023"
May 2012,"66,287","2,149,545"
June 2012,"65,643","2,156,228"
July 2012,"56,510","1,862,193"
August 2012,"55,156","1,795,507"
September 2012,"52,373","1,724,893"
October 2012,"49,105","1,645,218"
November 2012,"47,914","1,609,671"
December 2012,"41,699","1,411,358"
January 2013,"34,129","1,162,025"
February 2013,"37,431","1,273,878"
March 2013,"59,125","1,988,314"
April 2013,"63,159","2,152,490"
May 2013,"69,555","2,334,504"
June 2013,"66,888","2,254,727"
July 2013,"60,222","2,010,547"
August 2013,"59,970","2,004,003"
September 2013,"55,905","1,930,585"
October 2013,"54,003","1,855,853"
November 2013,"51,528","1,768,675"
December 2013,"44,769","1,570,311"
January 2014,"37,030","1,282,251"
February 2014,"42,814","1,476,276"
March 2014,"62,809","2,197,342"
April 2014,"69,514","2,360,549"
May 2014,"78,679","2,663,953"
June 2014,"71,581","2,447,605"
July 2014,"67,773","2,331,438"
August 2014,"67,100","2,298,551"
September 2014,"64,918","2,275,801"
October 2014,"60,477","2,135,023"
November 2014,"55,693","1,974,539"
December 2014,"54,330","1,974,961"
January 2015,"37,773","1,361,083"
February 2015,"43,129","1,567,750"
March 2015,"64,812","2,351,699"
April 2015,"78,003","2,770,339"
May 2015,"82,966","2,956,564"
June 2015,"74,711","2,757,859"
July 2015,"71,030","2,551,253"
August 2015,"71,777","2,572,941"
September 2015,"70,226","2,581,487"
