period,sold_count,price_sold,list_days,list_count,list_active,absorption_rate,rent_ratio,rent_count,price_rent,rent_listing_count
2008-08,6555,324500,41,12566,26570,24.7,3,1773,1650,2396
2008-09,6784,325000,38,17681,28825,23.5,3,1544,1650,2770
2008-10,5090,318000,38,15587,30426,16.7,3,1473,1650,3337
2008-11,3648,321000,43,10354,28370,12.9,4,1375,1600,3341
2008-12,2516,307500,50,5421,21721,11.6,3,1120,1600,2493
2009-01,2950,310000,51,11195,22720,13,3,1403,1595,3338
2009-02,4395,315000,46,10929,23787,18.5,3,1423,1550,2938
2009-03,6758,320000,41,14566,25907,26.1,3,1900,1550,3526
2009-04,8875,330000,38,14146,25542,34.7,3,1922,1550,3209
2009-05,10191,341500,37,14516,23833,42.8,3,1964,1550,3244
2009-06,11237,348900,37,14098,20987,53.5,3,2030,1575,3226
2009-07,10350,345000,35,12871,18585,55.7,3,2304,1580,3192
2009-08,8670,345000,34,11599,17416,49.8,3,2206,1580,2812
2009-09,8642,353000,30,13028,17117,50.5,4,1743,1590,2680
2009-10,9152,360000,28,12465,16357,56,4,1512,1575,2718
2009-11,7744,360000,29,10512,15134,51.2,4,1324,1550,2379
2009-12,5502,352250,31,5698,11073,49.7,4,1075,1550,1935
2010-01,5600,360000,30,10824,13109,42.7,4,1280,1550,2461
2010-02,7688,372000,23,13436,15883,48.4,4,1300,1550,2196
2010-03,10811,375000,21,19875,20047,53.9,4,1778,1550,2671
2010-04,11320,377500,22,21918,24744,45.7,3,1866,1550,2848
2010-05,9606,380000,25,19942,27387,35.1,3,2073,1600,3120
2010-06,8892,376000,33,15669,25879,34.4,3,2278,1600,3442
2010-07,6818,364000,36,11464,23266,29.3,4,2535,1600,3640
2010-08,6515,361000,39,11044,20638,31.6,4,2549,1600,3346
2010-09,6561,369900,34,13561,21042,31.2,4,2037,1650,3167
2010-10,6960,371250,33,11022,19137,36.4,4,1815,1600,3164
2010-11,6400,370000,36,8852,16396,39,4,1674,1600,3043
2010-12,4351,360000,41,4418,11492,37.9,4,1292,1600,2190
2011-01,4795,365000,37,9675,12911,37.1,4,1623,1600,2888
2011-02,6607,385000,27,12252,15533,42.5,4,1440,1600,2405
2011-03,9388,390000,23,16036,17939,52.3,4,2055,1600,2908
2011-04,9317,405000,24,15138,19045,48.9,4,2016,1600,2825
2011-05,10302,407000,24,16948,20308,50.7,4,2363,1625,3401
2011-06,10285,410000,27,15673,19821,51.9,4,2571,1650,3376
2011-07,8261,399000,29,13053,19254,42.9,5,2583,1678,3539
2011-08,7783,399900,31,13067,18718,41.6,5,2819,1700,3474
2011-09,8230,399000,29,15603,19847,41.5,5,2178,1700,3221
2011-10,7993,408800,28,13140,18926,42.2,5,1908,1699,3127
2011-11,7165,404990,31,10174,16306,43.9,5,1727,1700,3065
2011-12,4599,389000,36,4947,11560,39.8,6,1414,1650,2314
2012-01,4938,399000,34,10303,13158,37.5,5,1710,1675,3169
2012-02,7341,421000,25,13256,15568,47.2,5,1824,1650,2918
2012-03,9940,425000,23,16910,17913,55.5,5,2358,1650,3178
2012-04,10521,439000,22,17379,19570,53.8,5,2225,1680,3051
2012-05,10846,437950,23,19990,22128,49,4,2540,1745,3579
2012-06,9629,433000,25,17225,22318,43.1,4,2660,1700,3552
2012-07,7599,421000,30,14399,21702,35,5,2844,1750,4075
2012-08,6588,415000,33,12126,20057,32.8,5,3005,1775,3893
2012-09,6259,428500,30,15867,22099,28.3,5,2299,1800,3614
2012-10,6825,429000,30,14280,21746,31.4,5,2154,1800,4188
2012-11,5785,418000,33,9980,18896,30.6,5,2026,1750,3956
2012-12,3673,410000,39,4467,13361,27.5,5,1612,1725,2769
2013-01,4682,420000,38,11089,14768,31.7,5,2126,1700,4128
2013-02,5941,435000,29,11392,16482,36,5,2085,1700,3408
2013-03,8138,444000,25,14974,18553,43.9,5,2687,1700,4078
2013-04,9727,450000,24,18523,21052,46.2,4,2956,1750,4305
2013-05,10194,460000,24,19156,22582,45.1,4,3154,1750,4636
2013-06,9117,452500,26,15529,21586,42.2,5,3185,1750,4556
2013-07,8329,448500,29,14184,20047,41.5,5,3752,1800,5099
2013-08,7385,435800,30,12184,18279,40.4,5,3580,1800,4972
2013-09,7395,451000,26,15080,19311,38.3,6,2915,1780,4673
2013-10,7670,458000,26,13128,18052,42.5,6,2659,1780,4971
2013-11,6390,460000,30,9309,15521,41.2,7,2447,1750,4561
2013-12,3848,435400,34,4084,10767,35.7,7,1902,1700,3231
2014-01,4352,445000,34,8922,11532,37.7,6,2395,1700,4596
2014-02,5854,465000,24,10958,13551,43.2,6,2389,1700,4069
2014-03,8372,480000,20,14918,15936,52.5,5,3254,1700,4808
2014-04,9846,492000,19,17388,18363,53.6,5,3581,1700,4905
2014-05,11083,495000,20,18951,19958,55.5,5,3882,1750,5422
2014-06,10075,490000,21,16717,19770,51,5,3880,1750,5254
2014-07,9188,477000,25,15251,18852,48.7,6,4366,1775,6020
2014-08,7580,466400,26,11715,17176,44.1,6,4211,1800,5493
2014-09,8111,485000,25,15868,18224,44.5,7,3427,1775,5565
2014-10,8392,493900,24,13420,16877,49.7,7,3089,1750,5635
2014-11,6577,485000,27,8869,14077,46.7,7,2748,1750,5135
2014-12,4178,460000,33,4440,9708,43,7,2323,1750,4113
2015-01,4506,476250,30,9702,11365,39.6,7,2737,1720,5706
2015-02,6416,500000,23,10528,12487,51.4,7,2797,1700,4815
2015-03,9334,525000,19,15582,14595,64,6,4082,1700,5952
2015-04,11546,544700,18,18477,16821,68.6,6,4414,1750,6006
2015-05,11781,550000,18,18777,17843,66,6,4465,1775,6052
2015-06,11762,543500,19,17818,17315,67.9,7,4610,1800,6489
2015-07,9653,525000,22,14689,16249,59.4,7,5179,1800,6909
2015-08,7910,510000,23,12659,15512,51,8,5238,1850,6543
2015-09,8273,530000,22,16267,17118,48.3,8,4074,1825,6299
2015-10,8673,535000,22,13311,15740,55.1,8,3703,1800,6054
2015-11,7184,535000,25,9757,13118,54.8,9,3294,1800,5562
2015-12,4754,513000,30,4817,8841,53.8,9,2744,1800,4245
2016-01,5045,535000,28,9097,9693,52,9,3254,1800,5554
2016-02,7774,575000,20,11391,10511,74,8,3307,1800,4884
